Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
40788, ,"Pernambuco, port unspecified",Sao Tome,"Pernambuco, port unspecified",1574,48,
40789, ,"Pernambuco, port unspecified",Sao Tome,"Pernambuco, port unspecified",1575,284,
98835, ,"Pernambuco, port unspecified",Sao Tome,"Pernambuco, port unspecified",1576,83,
49522,S Antônio,"Bahia, port unspecified","West Central Africa and St. Helena, port unspecified","Bahia, port unspecified",1582,166,"Dias, André"
11356, ,"Pernambuco, port unspecified","West Central Africa and St. Helena, port unspecified","Pernambuco, port unspecified",1604,,"Fidalo, Afonso"
42835,S Antonio,"Bahia, port unspecified","Africa., port unspecified","Bahia, port unspecified",1607,,"Quintero, Juan"
47641,NS do Monserrat,Rio de Janeiro,Luanda,"Bahia, port unspecified",1610,,"Dias, Domingos"
48921,S Catarina,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1611,,"Magalhães, Lourenço de"
11237, ,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1624,,
11238, ,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1624,,
11236, ,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1626,148,
11231, ,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1627,,
11233, ,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1627,,
11235, ,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1627,360,
11228, ,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1630,280,
11229, ,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1630,,
11597, ,"Pernambuco, port unspecified","West Central Africa and St. Helena, port unspecified","Pernambuco, port unspecified",1630,280,"Sijmonsz, Dirck"
11222, ,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1633,300,
11224, ,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1636,390,
11225, ,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1636,,
11226, ,"Pernambuco, port unspecified",Luanda,Ilha de Itamaric ,1636,,
11287,Halve Maan,"Pernambuco, port unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified","Pernambuco, port unspecified",1637,,
11288,Eendracht,Zeeland,Ardra,"Pernambuco, port unspecified",1637,,
11289,Halve Maan,Amsterdam,Ardra,"Pernambuco, port unspecified",1637,,
11290,S Jan van Dort,"Pernambuco, port unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified","Pernambuco, port unspecified",1637,,
11291,Hoop,"Pernambuco, port unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified","Pernambuco, port unspecified",1637,,
11292,Kameel,"Pernambuco, port unspecified","Bight of Biafra and Gulf of Guinea Islands, port unspecified","Pernambuco, port unspecified",1637,,
11280,Eendracht,"Pernambuco, port unspecified",Calabar,"Pernambuco, port unspecified",1638,,
11281,Leeuwinne,"Pernambuco, port unspecified",Gold Coast + Bight of Benin + Bight of Biafra,"Pernambuco, port unspecified",1638,,
11282,Eendracht,"Pernambuco, port unspecified",Ardra,"Pernambuco, port unspecified",1638,,
11283,Nassau,"Pernambuco, port unspecified",Gold Coast + Bight of Benin + Bight of Biafra,"Pernambuco, port unspecified",1638,,
11284,Eendracht,"Pernambuco, port unspecified",Calabar,"Pernambuco, port unspecified",1638,,
11285,Ter Tholen,"Pernambuco, port unspecified",Gold Coast + Bight of Benin + Bight of Biafra,"Pernambuco, port unspecified",1638,207,
11286,Witte Leeuw,"Pernambuco, port unspecified",Gold Coast + Bight of Benin + Bight of Biafra,"Pernambuco, port unspecified",1638,207,
11302,S Michiel,Zeeland,Mpinda,"Pernambuco, port unspecified",1638,70,
11273,Bruinvis,"Pernambuco, port unspecified",Gold Coast + Bight of Benin + Bight of Biafra,"Pernambuco, port unspecified",1639,,
11274,Matança,"Pernambuco, port unspecified",Ardra,"Pernambuco, port unspecified",1639,216,
11275,Eendracht,"Pernambuco, port unspecified","Africa., port unspecified","Pernambuco, port unspecified",1639,,
11277,Zeerobbe,"Pernambuco, port unspecified","Africa., port unspecified","Pernambuco, port unspecified",1639,,
11278,Walcheren,"Pernambuco, port unspecified",Calabar,"Pernambuco, port unspecified",1639,,
11279,Nassau,"Pernambuco, port unspecified",Ardra,"Pernambuco, port unspecified",1639,,
11303,S Pieter,"Pernambuco, port unspecified",Mpinda,"Pernambuco, port unspecified",1639,,
11304,Maagd van Enkhuizen,"Pernambuco, port unspecified",Mpinda,"Pernambuco, port unspecified",1639,,
11305,Mooriaan,"Pernambuco, port unspecified",Mpinda,"Pernambuco, port unspecified",1639,21,"Hes, Jacob"
11318,S Michiel,"Pernambuco, port unspecified",Mpinda,"Pernambuco, port unspecified",1639,,
11600, ,"Pernambuco, port unspecified","Africa., port unspecified","Pernambuco, port unspecified",1639,77,
