Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
289,Delfim,Lisbon,Mozambique,Maranhao,1822,137,"Almeida, Francisco Joaquim de"
290,Triunfo da Inveja,Lisbon,Luanda,Maranhao,1822,38,"Silva, João Batista da"
291,S José Diligente Vulcano,Rio de Janeiro,Congo River,Maranhao,1822,410,"Alves, Isidoro"
292,General D Antônio,Lisbon,Bissau,Maranhao,1822,224,"Coelho, João Antônio"
293,Bom Caminho,Lisbon,Luanda,Maranhao,1822,441,"Couto, João Batista do<br/> Pinto, José Bernardo"
294,Maria,,Bissau,Maranhao,1822,130,"Chaves, Antônio dos Santos"
295,Maria da Glória,,Malembo,Maranhao,1822,380,
377,Liberal,Rio de Janeiro,Luanda,Maranhao,1823,281,"Machado, Manoel de Souza"
378,S José Diligente Vulcano,Rio de Janeiro,Luanda,Maranhao,1823,297,"Costa, Silvestre Manoel Pereira da"
379,Liberal,,Cape Verde Islands,Maranhao,1823,118,
380,Triunfo da Inveja,Maranhao,Malembo,Maranhao,1823,302,"Batista, Manoel João"
381,Maria,,Bissau,Maranhao,1823,212,"Pusiah, Jerônimo Antônio"
592,Carolina,Lisbon,Cacheu,Maranhao,1826,133,"Brito, Vítor Nobre de"
593,Nove de Março,Cape Verde Islands,"Senegambia and offshore Atlantic, port unspecified",Maranhao,1826,107,"Pinho, José Fernando do"
747,Netuno,Rio de Janeiro,Luanda,Maranhao,1827,336,"Machado, Manoel de Souza"
748,Ativo,"Pernambuco, port unspecified",Ambriz,Maranhao,1827,323,"Viana, José Pinto de Araújo"
749,S Nicolau Augusto,Lisbon,Luanda,Maranhao,1827,414,"Cruz, J P da"
750,Lucrécia,,Luanda,Maranhao,1827,42,"Cunha, José Fortuna da"
879,S Antônio Protetor,"Pernambuco, port unspecified",Luanda,Maranhao,1828,290,"Lima, Inácio Gonçalves de<br/> Silva, A J Ramos e"
901,João Cabeça,,Bissau,Maranhao,1829,16,"Gonçalves, J C"
1189,Tâmega,"Pernambuco, port unspecified",Luanda,Maranhao,1829,454,"Picão, Antônio Rodrigues<br/> Aguiar, Manoel de"
1190,S José Grande,"Pernambuco, port unspecified",Luanda,Maranhao,1830,342,"Lima, Manoel Gonçalves"
1936,Lealdade,,Cabinda,Maranhao,1839,,"Pita, J M"
2060,Amélia,,Luanda,Maranhao,1840,,"Nonato, Raimundo"
2061,Águia,,Princes Island,Maranhao,1840,,"Lima, Raimundo Antônio de"
2062,V de Sá da Bandeira,,"Africa., port unspecified",Maranhao,1840,,"Avelar, J S de"
2063,Águia,Maranhao,Sao Tome,Maranhao,1840,,"Lima, Raimundo Antônio de"
2142,Águia,,Sao Tome,Maranhao,1841,,"Lima, Raimundo Antônio de"
2188,Rosa,,Bissau,Maranhao,1841,,
2189,Águia,Maranhao,"Africa., port unspecified",Maranhao,1841,,"Lima, Raimundo Antônio de"
2190,Ferme,,Bissau,Maranhao,1841,172,"Souza, J P"
2191,General Espartero,,Cape Verde Islands,Maranhao,1842,,"Silva, J M da"
2192,Águia,Maranhao,"Africa., port unspecified",Maranhao,1842,,
2891,S João Vitorioso,Lisbon,Cacheu,Maranhao,1819,203,"Chaves, Antônio dos Santos"
2892,Pomba Feliz,,Cape Verde Islands,Maranhao,1819,43,
2893,D Ana,,Cape Verde Islands,Maranhao,1819,125,
2894,Aurora,,Cacheu,Maranhao,1819,204,"Vieira, Pedro dos Santos"
2895,Feliz Ventura,,Cacheu,Maranhao,1819,162,
2896,Apolo,Lisbon,Cacheu,Maranhao,1821,231,"Barros, Antônio Daniel Batista de"
2987,Secours,Cape Verde Islands,Bissau,Maranhao,1826,,
3033,Flora da Harmonia,,Cape Verde Islands,Maranhao,1831,,
3035,Voadora,Cape Verde Islands,Cape Verde Islands,Maranhao,1830,200,
3036,União,Maranhao,"Africa., port unspecified",Maranhao,1830,,
3037,Prudência,,"Africa., port unspecified",Maranhao,1830,,
3142,Lealdade,Maranhao,"Africa., port unspecified",Maranhao,1841,,"Porto, José Maria da Silva"
5043, ,,"Africa., port unspecified",Maranhao,1846,56,
5051,D Pedro,,Cape Verde Islands,Maranhao,1838,,
7414,Triunfo da Inveja,Lisbon,Luanda,Maranhao,1821,387,"Silva, José Batista da"
7415,S Sebastião,,Benguela,Maranhao,1821,253,"Pedroso, José Domingos"
7416,Marquês de Pombal,Maranhao,Benguela,Maranhao,1821,,"Pires, Manoel José"
7418,Maria,,Cape Verde Islands,Maranhao,1821,84,"Pusiah, Jerônimo Antônio"
8305,NS da Conceição e S Bento,Rio de Janeiro,Luanda,Maranhao,1789,116,"Rodrigues, Antônio José"
8429,Flor do Mar,Rio de Janeiro,Luanda,Maranhao,1803,,"Medões, Bernardo da Silva"
8435,NS da Conceição e S Bento Bela Africana,Rio de Janeiro,Luanda,Maranhao,1805,,"Carvalho, Francisco Benício de"
8949,S Luís Rei da França,Lisbon,Luanda,Maranhao,1765,413,"Salgado, Manoel Gonçalves"
9054,NS da Conceição,Lisbon,Luanda,Maranhao,1756,155,"Viana, Ventura José de Oliveira"
9055,S Antônio,Lisbon,Cacheu,Maranhao,1757,135,"Ferreira, José Gonçalves"
9056,S Sebastião,Lisbon,Bissau,Maranhao,1757,183,"Gonçalves, Felipe<br/> Almeida, Manoel Gomes de"
9060,NS da Esperança,Lisbon,Cacheu,Maranhao,1758,161,"Santos, José dos"
9061,S Sebastião,Lisbon,Bissau,Maranhao,1758,144,"Costa, José da Silva"
9064,S Sebastião,Lisbon,Bissau,Maranhao,1761,153,"Azevedo, José Ferreira de"
9065,S Paulo,Lisbon,Bissau,Maranhao,1762,182,"Costa, José da Silva"
9067,S Paulo,Lisbon,Bissau,Maranhao,1763,175,"Costa, José da Silva"
9068,S Marçal,Lisbon,Bissau,Maranhao,1763,145,"Franco, Bernardo"
9069,NS da Esperança,Lisbon,Bissau,Maranhao,1764,126,"Azevedo, José Ferreira de"
9070,S Antônio,Lisbon,Bissau,Maranhao,1765,167,"Costa, Miguel Pereira da"
9071,S Sebastião,Lisbon,Cacheu,Maranhao,1766,126,"Rosa, Verissimo Duarte"
9072,S Pedro,Lisbon,Cacheu,Maranhao,1767,155,"Santos, Manoel José dos"
9074,S Sebastião,Lisbon,Cacheu,Maranhao,1774,176,"Duarte, Joaquim Ribeiro"
9076,S Luís Rei da França,Lisbon,Benguela,Maranhao,1776,431,"Silva, Inácio Luís da"
11416, ,,"West Central Africa and St. Helena, port unspecified",Maranhao,1673,,
19523,S Pedro Gonçalves,Lisbon,Bissau,Maranhao,1768,109,"Silva, Inácio Luís da"
19536,NS da Mãe de Deus,Lisbon,Cape Verde Islands,Maranhao,1774,2,"Costa, Miguel Pereira da"
19537,NS da Mãe de Deus,,Cape Verde Islands,Maranhao,1777,2,
19540,NS da Conceição,Lisbon,Bissau,Maranhao,1769,208,"Ribeiro, José Gomes"
19543,S Luís Rei da França,Lisbon,Bissau,Maranhao,1767,,"Fateixa, Manoel dos Santos<br/> Rosa, Veríssimo Duarte"
19544,S Luís Rei da França,Lisbon,Bissau,Maranhao,1768,127,"Costa, Miguel Pereira da"
19545,S Luís Rei da França,Lisbon,Bissau,Maranhao,1769,205,"Costa, Miguel Pereira da"
19546,Santana e S Joaquim,Lisbon,Cape Verde Islands,Maranhao,1775,8,"Bulhão, José de Oliveira"
19547,S Pedro,Lisbon,Cacheu,Maranhao,1763,127,"Neves, Antônio Pereira das"
